filename,plan_type,Grounding Time,Stat_F,Stat_X,Stat_A,Stat_P,Stat_E,H1 Setup Time (msec),Plan-Length,Metric (Search),Planning Time (msec),Heuristic Time (msec),Search Time (msec),Expanded Nodes,States Evaluated,Fixed constraint violations during search (zero-crossing),Number of Dead-Ends detected,Number of Duplicates detected
tanya_coord,coord,596,,,,,,9,38,7.0,1508,50,64,81,119,0,4,104
unused_1_coord,coord,2205,,,,,,21,58,8.0,8456,96,122,137,168,0,0,133
claire_coord,coord,1036,,,,,,11,35,10.0,3598,52,65,95,139,0,9,114
kate_coord,coord,3921,,,,,,26,37,11.0,19481,116,146,87,137,0,11,103
helen_coord,coord,1985,,,,,,11,85,14.0,9503,321,368,2213,2428,0,115,2900
mary_coord,coord,479,,,,,,6,46,10.0,1232,30,43,106,139,0,11,112
paul_coord,coord,2335,,,,,,15,75,28.0,17740,6256,6724,28457,30478,0,1643,47462
julian_coord,coord,7487,,,,,,14,84,17.0,77471,748,802,2594,2923,0,243,4237
adam_coord,coord,1302,,,,,,13,72,12.0,7044,2053,2227,10062,11104,0,591,11175
andy_coord,coord,2228,,,,,,16,23,6.0,11094,83,106,46,100,0,1,53
willow_coord,coord,6284,,,,,,15,112,18.0,63659,7792,8148,27968,31639,0,3115,40824
alice_coord,coord,7192,,,,,,19,75,23.0,281951,208491,216514,19107,559219,0,68460,793973
alex_coord,coord,1670,,,,,,10,26,6.0,7380,30,47,52,91,0,7,63
priscilla_coord,coord,3245,,,,,,13,78,18.0,16707,802,870,2348,2778,0,306,3244
jack_jill_coord,coord,3889,,,,,,26,51,14.0,315860,270886,294368,18770,705844,0,79933,1011036
chris_karen_coord,coord,18922,,,,,,28,97,31.0,310092,16585,17395,15808,63706,0,22995,58433
